"city","County","Year","Latitude","Longitude","HTD","CAN","STK","CLD","PNF"
"Acton","Los Angeles",2000,34.4835,-118.1959,627.62,376.57,125.52,209.21,0.00
"Acton","Los Angeles",2001,34.4835,-118.1959,376.57,585.77,41.84,41.84,83.68
"Acton","Los Angeles",2002,34.4835,-118.1959,334.73,460.25,0.00,41.84,83.68
"Acton","Los Angeles",2003,34.4835,-118.1959,334.73,334.73,292.89,41.84,125.52
"Acton","Los Angeles",2004,34.4835,-118.1959,543.93,376.57,125.52,167.36,83.68
"Acton","Los Angeles",2005,34.4835,-118.1959,831.49,498.89,55.43,166.30,55.43
"Acton","Los Angeles",2006,34.4835,-118.1959,609.76,498.89,110.86,166.30,0.00
"Acton","Los Angeles",2007,34.4835,-118.1959,554.32,720.62,110.86,332.59,110.86
"Acton","Los Angeles",2008,34.4835,-118.1959,720.62,831.49,110.86,166.30,0.00
"Acton","Los Angeles",2009,34.4835,-118.1959,443.46,388.03,55.43,166.30,0.00
"Acton","Los Angeles",2010,34.4835,-118.1959,263.30,118.48,78.99,78.99,0.00
"Acton","Los Angeles",2011,34.4835,-118.1959,224.15,210.14,42.03,14.01,28.02
"Acton","Los Angeles",2012,34.4835,-118.1959,252.92,168.61,84.31,42.15,56.20
"Acton","Los Angeles",2013,34.4835,-118.1959,227.86,156.65,28.48,71.20,42.72
"Acton","Los Angeles",2014,34.4835,-118.1959,330.65,215.64,86.26,57.50,14.38
"Acton","Los Angeles",2015,34.4835,-118.1959,141.68,226.69,42.50,70.84,28.34
"Adelanto","San Bernardino",2000,34.5841,-117.4242,143.41,132.38,27.58,27.58,11.03
"Adelanto","San Bernardino",2001,34.5841,-117.4242,165.47,82.74,33.09,33.09,11.03
"Adelanto","San Bernardino",2002,34.5841,-117.4242,154.44,115.83,16.55,27.58,11.03
"Adelanto","San Bernardino",2003,34.5841,-117.4242,148.92,71.70,44.13,44.13,22.06
"Adelanto","San Bernardino",2004,34.5841,-117.4242,193.05,110.31,22.06,49.64,5.52
"Adelanto","San Bernardino",2005,34.5841,-117.4242,129.72,100.07,14.83,29.65,14.83
"Adelanto","San Bernardino",2006,34.5841,-117.4242,122.31,81.54,29.65,29.65,3.71
"Adelanto","San Bernardino",2007,34.5841,-117.4242,103.78,92.66,18.53,33.36,7.41
"Adelanto","San Bernardino",2008,34.5841,-117.4242,107.48,74.13,14.83,48.18,14.83
"Adelanto","San Bernardino",2009,34.5841,-117.4242,133.43,70.42,25.94,37.06,3.71
"Adelanto","San Bernardino",2010,34.5841,-117.4242,107.04,91.30,22.04,22.04,0.00
"Adelanto","San Bernardino",2011,34.5841,-117.4242,149.98,110.86,32.61,42.39,22.82
"Adelanto","San Bernardino",2012,34.5841,-117.4242,112.76,80.54,9.66,19.33,25.77
"Adelanto","San Bernardino",2013,34.5841,-117.4242,133.86,121.11,28.68,31.87,3.19
"Adelanto","San Bernardino",2014,34.5841,-117.4242,84.98,94.42,28.33,22.03,12.59
"Adelanto","San Bernardino",2015,34.5841,-117.4242,131.01,112.29,18.72,65.50,21.83
"Agoura Hills","Los Angeles",2000,34.1227,-118.7573,146.08,155.82,24.35,9.74,4.87
"Agoura Hills","Los Angeles",2001,34.1227,-118.7573,131.47,136.34,24.35,19.48,29.22
"Agoura Hills","Los Angeles",2002,34.1227,-118.7573,223.99,111.99,29.22,19.48,9.74
"Agoura Hills","Los Angeles",2003,34.1227,-118.7573,199.64,150.95,34.08,43.82,34.08
"Agoura Hills","Los Angeles",2004,34.1227,-118.7573,199.64,165.55,38.95,14.61,19.48
"Agoura Hills","Los Angeles",2005,34.1227,-118.7573,139.60,180.12,9.01,40.53,18.01
"Agoura Hills","Los Angeles",2006,34.1227,-118.7573,175.62,189.13,27.02,27.02,22.52
"Agoura Hills","Los Angeles",2007,34.1227,-118.7573,198.14,175.62,27.02,13.51,9.01
"Agoura Hills","Los Angeles",2008,34.1227,-118.7573,180.12,153.10,45.03,18.01,0.00
"Agoura Hills","Los Angeles",2009,34.1227,-118.7573,130.59,117.08,36.02,36.02,18.01
"Agoura Hills","Los Angeles",2010,34.1227,-118.7573,191.83,142.65,44.27,44.27,14.76
"Agoura Hills","Los Angeles",2011,34.1227,-118.7573,181.79,137.57,29.48,39.31,24.57
"Agoura Hills","Los Angeles",2012,34.1227,-118.7573,151.73,205.57,24.47,39.16,9.79
"Agoura Hills","Los Angeles",2013,34.1227,-118.7573,161.07,146.43,24.40,29.29,0.00
"Agoura Hills","Los Angeles",2014,34.1227,-118.7573,198.74,155.11,19.39,53.32,24.24
"Agoura Hills","Los Angeles",2015,34.1227,-118.7573,178.77,173.94,24.16,43.48,9.66
"Alameda","Alameda",2000,37.7351,-122.2431,260.18,182.68,96.87,27.68,26.29
"Alameda","Alameda",2000,37.7706,-122.2648,260.18,182.68,96.87,27.68,26.29
"Alameda","Alameda",2001,37.7351,-122.2431,249.10,182.68,78.88,63.66,29.06
"Alameda","Alameda",2001,37.7706,-122.2648,249.10,182.68,78.88,63.66,29.06
"Alameda","Alameda",2002,37.7351,-122.2431,279.55,213.12,62.28,42.90,41.52
"Alameda","Alameda",2002,37.7706,-122.2648,279.55,213.12,62.28,42.90,41.52
"Alameda","Alameda",2003,37.7351,-122.2431,280.93,184.06,48.44,47.05,22.14
"Alameda","Alameda",2003,37.7706,-122.2648,280.93,184.06,48.44,47.05,22.14
"Alameda","Alameda",2004,37.7351,-122.2431,224.19,177.14,60.89,23.53,29.06
"Alameda","Alameda",2004,37.7706,-122.2648,224.19,177.14,60.89,23.53,29.06
"Alameda","Alameda",2005,37.7351,-122.2431,204.05,235.45,67.07,49.94,32.82
"Alameda","Alameda",2005,37.7706,-122.2648,204.05,235.45,67.07,49.94,32.82
"Alameda","Alameda",2006,37.7351,-122.2431,242.58,192.64,47.09,31.39,21.40
"Alameda","Alameda",2006,37.7706,-122.2648,242.58,192.64,47.09,31.39,21.40
"Alameda","Alameda",2007,37.7351,-122.2431,228.31,195.49,57.08,24.26,28.54
"Alameda","Alameda",2007,37.7706,-122.2648,228.31,195.49,57.08,24.26,28.54
"Alameda","Alameda",2008,37.7351,-122.2431,231.16,172.66,51.37,41.38,27.11
"Alameda","Alameda",2008,37.7706,-122.2648,231.16,172.66,51.37,41.38,27.11
"Alameda","Alameda",2009,37.7351,-122.2431,185.50,161.24,64.21,38.53,19.98
"Alameda","Alameda",2009,37.7706,-122.2648,185.50,161.24,64.21,38.53,19.98
"Alameda","Alameda",2010,37.7351,-122.2431,172.06,172.06,42.00,33.87,13.55
"Alameda","Alameda",2010,37.7706,-122.2648,172.06,172.06,42.00,33.87,13.55
"Alameda","Alameda",2011,37.7351,-122.2431,170.67,178.87,47.79,30.04,24.58
"Alameda","Alameda",2011,37.7706,-122.2648,170.67,178.87,47.79,30.04,24.58
"Alameda","Alameda",2012,37.7351,-122.2431,133.74,154.01,56.74,37.83,20.26
"Alameda","Alameda",2012,37.7706,-122.2648,133.74,154.01,56.74,37.83,20.26
"Alameda","Alameda",2013,37.7351,-122.2431,159.05,169.75,32.08,46.78,22.72
"Alameda","Alameda",2013,37.7706,-122.2648,159.05,169.75,32.08,46.78,22.72
"Alameda","Alameda",2014,37.7351,-122.2431,171.59,180.83,40.92,36.96,21.12
"Alameda","Alameda",2014,37.7706,-122.2648,171.59,180.83,40.92,36.96,21.12
"Alameda","Alameda",2015,37.7351,-122.2431,164.21,148.57,44.31,43.01,16.94
"Alameda","Alameda",2015,37.7706,-122.2648,164.21,148.57,44.31,43.01,16.94
"Alamo","Contra Costa",2000,37.8537,-122.0229,108.79,198.39,51.20,25.60,6.40
"Alamo","Contra Costa",2001,37.8537,-122.0229,134.39,102.39,64.00,12.80,0.00
"Alamo","Contra Costa",2002,37.8537,-122.0229,147.19,115.19,51.20,6.40,6.40
"Alamo","Contra Costa",2003,37.8537,-122.0229,147.19,179.19,38.40,25.60,6.40
"Alamo","Contra Costa",2004,37.8537,-122.0229,147.19,172.79,44.80,25.60,19.20
"Alamo","Contra Costa",2005,37.8537,-122.0229,111.16,127.83,44.46,22.23,16.67
"Alamo","Contra Costa",2006,37.8537,-122.0229,116.72,122.28,61.14,27.79,16.67
"Alamo","Contra Costa",2007,37.8537,-122.0229,77.81,150.07,16.67,38.91,16.67
"Alamo","Contra Costa",2008,37.8537,-122.0229,77.81,150.07,38.91,33.35,11.12
"Alamo","Contra Costa",2009,37.8537,-122.0229,111.16,88.93,77.81,38.91,0.00
