County,City,Date_Local,co_aqi_level,so2_aqi_level,no2_aqi_level,o3_aqi_level
Alameda,Berkeley,12/8/2007,2,0,24,21
Alameda,Berkeley,12/9/2007,5,3,29,16
Alameda,Berkeley,12/10/2007,7,9,33,24
Alameda,Berkeley,12/11/2007,8,3,39,26
Alameda,Berkeley,12/12/2007,17,16,44,12
Alameda,Berkeley,12/13/2007,17,6,42,3
Alameda,Berkeley,12/14/2007,14,17,42,6
Alameda,Berkeley,12/15/2007,13,3,36,9
Alameda,Berkeley,12/16/2007,13,1,29,25
Alameda,Berkeley,12/17/2007,6,1,32,21
Alameda,Berkeley,12/18/2007,9,3,30,21
Alameda,Berkeley,12/19/2007,10,7,33,24
Alameda,Berkeley,12/20/2007,2,1,25,20
Alameda,Berkeley,12/21/2007,15,3,34,18
Alameda,Berkeley,12/22/2007,18,20,33,13
Alameda,Berkeley,12/23/2007,13,10,32,10
Alameda,Berkeley,12/24/2007,15,6,26,27
Alameda,Berkeley,12/25/2007,3,6,30,24
Alameda,Berkeley,12/26/2007,2,1,22,23
Alameda,Berkeley,12/27/2007,3,1,25,19
Alameda,Berkeley,12/28/2007,6,3,25,17
Alameda,Berkeley,12/29/2007,8,1,26,3
Alameda,Berkeley,12/30/2007,7,3,24,19
Alameda,Berkeley,12/31/2007,7,6,28,27
Alameda,Berkeley,1/1/2008,7,6,30,17
Alameda,Berkeley,1/2/2008,9,10,34,13
Alameda,Berkeley,1/3/2008,10,1,31,22
Alameda,Berkeley,1/7/2008,8,3,32,22
Alameda,Berkeley,1/8/2008,9,1,32,12
Alameda,Berkeley,1/9/2008,8,9,33,4
Alameda,Berkeley,1/10/2008,8,4,27,1
Alameda,Berkeley,1/11/2008,6,4,20,7
Alameda,Berkeley,1/12/2008,6,13,24,15
Alameda,Berkeley,1/13/2008,9,3,25,18
Alameda,Berkeley,1/14/2008,11,3,31,10
Alameda,Berkeley,1/15/2008,17,9,23,2
Alameda,Berkeley,1/16/2008,17,6,37,25
Alameda,Berkeley,1/17/2008,11,6,40,15
Alameda,Berkeley,1/18/2008,14,6,40,26
