row,city,Latitude,Longitude,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,Bakersfield,35.4,-119,24,25.2,0,0,0,0,0,0,0,0,0
1,Benicia,38.1,-122.2,0,0,0,0,0,0,0,14.1,14.7,0,0
2,Berkeley,37.9,-122.3,0,0,0,0,0,0,0,16,13.8,13.1,13
3,Burbank,34.2,-118.3,30.7,28.7,29.4,29.3,27.8,23.9,24,23,23.9,23.4,20.8
4,Calexico,32.7,-115.5,29.9,25.8,21.5,16.5,21.2,21.4,20.9,22.7,23.8,22.3,20.8
5,Chula Vista,32.6,-117,22.4,23.4,22.8,20.1,21.3,21.2,21.6,20.8,20.2,19.2,22.6
6,Concord,38,-122,17.8,17.9,17.5,16.6,15.8,15.3,16.2,15,15.4,13.6,12.5
7,Costa Mesa,33.7,-117.9,21.7,19.8,20.7,22.3,20.6,17.7,17.6,17,18,16.9,15.3
8,Cupertino,37.3,-122,0,0,0,0,0,0,0,0,0,0,13.8
9,Eureka,40.8,-124.2,0,0,0,0,0,0,12,9.7,9.7,9.4,9.5
10,Fontana,34.1,-117.4,0,0,0,0,0,0,0,0,26.2,24.6,21.8
11,Fresno,36.8,-119.8,0,0,0,27.4,0,0,0,19.9,20.7,19.8,17.5
12,Hawthorne,33.9,-118.3,26.9,27.8,25,23.7,25,0,0,0,0,0,0
13,Lompoc,34.7,-120.5,12.8,13.2,14.6,13.2,12.8,12,11.8,12.5,11.8,11.1,10.8
14,Long Beach,33.8,-118.2,26.1,26.2,24.8,24.4,24.6,21.5,20.6,20.3,20.7,18.8,18.2
15,Los Angeles,34,-118.3,34.1,27.3,23.9,24.6,23.4,21.1,21,19.4,17.6,19.1,18
16,Oakland,37.8,-122.2,0,19,18.6,20,0,0,0,0,0,0,14
17,Pittsburg,38,-121.9,17.2,18.8,18.9,17.5,16,16.2,17.4,15.8,15.2,0,0
18,San Diego,32.8,-117.1,26.8,24.4,24.5,24.3,25.3,24.9,25,21.1,22,20.7,17.8
19,San Francisco,37.8,-122.4,19,17,17.5,16.9,17,15.7,17.3,16,16.4,0,0
20,San Jose,37.3,-121.9,0,0,0,0,0,0,0,0,0,14,13.7
21,San Pablo,38,-122.3,15.7,15.7,15.9,16,15.8,14.2,15.2,14.6,14.2,14,13
22,Vallejo,38.1,-122.3,15.1,15.5,16.2,15.3,14.9,13.8,15.2,14.3,14.9,13.4,13.4
23,Victorville,34.5,-117.4,26.2,25.7,27,26,24.3,24.3,24,23,23.2,22.5,22.2
