"city","county","date","year","co_aqi_level","no2_aqi_level","o3_aqi_level","so2_aqi_level","Latitude","Longitude","HTD","CAN","STK","CLD","PNF"
"Bakersfield","Kern","2000-11",2000,18,46,24,8,35.2974,-119.0509,358,222,89.9,77.3,40.5
"Bakersfield","Kern","2000-11",2000,18,46,24,8,35.3039,-119.1056,358,222,89.9,77.3,40.5
"Bakersfield","Kern","2000-11",2000,18,46,24,8,35.3275,-118.9839,358,222,89.9,77.3,40.5
"Bakersfield","Kern","2000-11",2000,18,46,24,8,35.3384,-119.0627,358,222,89.9,77.3,40.5
"Bakersfield","Kern","2000-11",2000,18,46,24,8,35.3396,-119.0218,358,222,89.9,77.3,40.5
"Bakersfield","Kern","2000-11",2000,18,46,24,8,35.3855,-118.986,358,222,89.9,77.3,40.5
"Bakersfield","Kern","2000-11",2000,18,46,24,8,35.3866,-119.0171,358,222,89.9,77.3,40.5
"Bakersfield","Kern","2000-11",2000,18,46,24,8,35.3867,-118.9391,358,222,89.9,77.3,40.5
"Bakersfield","Kern","2000-11",2000,18,46,24,8,35.3935,-119.1205,358,222,89.9,77.3,40.5
"Bakersfield","Kern","2000-11",2000,18,46,24,8,35.4244,-119.0433,358,222,89.9,77.3,40.5
"Bakersfield","Kern","2001-01",2001,21,55,23,13,35.2974,-119.0509,373,259,70.8,79.7,44.1
"Bakersfield","Kern","2001-02",2001,17,59,30,6,35.3039,-119.1056,373,259,70.8,79.7,44.1
"Bakersfield","Kern","2001-03",2001,8,49,48,6,35.3275,-118.9839,373,259,70.8,79.7,44.1
"Bakersfield","Kern","2001-04",2001,6,34,50,4,35.3384,-119.0627,373,259,70.8,79.7,44.1
"Bakersfield","Kern","2001-04",2001,6,34,50,4,35.3396,-119.0218,373,259,70.8,79.7,44.1
"Bakersfield","Kern","2001-04",2001,6,34,50,4,35.3855,-118.986,373,259,70.8,79.7,44.1
"Bakersfield","Kern","2001-04",2001,6,34,50,4,35.3866,-119.0171,373,259,70.8,79.7,44.1
"Bakersfield","Kern","2001-04",2001,6,34,50,4,35.3867,-118.9391,373,259,70.8,79.7,44.1
"Bakersfield","Kern","2001-04",2001,6,34,50,4,35.3935,-119.1205,373,259,70.8,79.7,44.1
"Bakersfield","Kern","2001-04",2001,6,34,50,4,35.4244,-119.0433,373,259,70.8,79.7,44.1
"Benicia","Solano","2007-04",2007,4,11,37,6,38.0685,-122.1614,149,157,22.9,22.9,7.6
"Benicia","Solano","2007-05",2007,3,10,38,5,38.0685,-122.1614,149,157,22.9,22.9,7.6
"Benicia","Solano","2007-06",2007,3,10,32,5,38.0685,-122.1614,149,157,22.9,22.9,7.6
"Benicia","Solano","2007-07",2007,3,9,26,6,38.0685,-122.1614,149,157,22.9,22.9,7.6
"Benicia","Solano","2007-08",2007,3,11,32,6,38.0685,-122.1614,149,157,22.9,22.9,7.6
"Benicia","Solano","2007-09",2007,4,13,36,6,38.0685,-122.1614,149,157,22.9,22.9,7.6
"Benicia","Solano","2007-10",2007,4,15,32,7,38.0685,-122.1614,149,157,22.9,22.9,7.6
"Benicia","Solano","2007-11",2007,4,21,26,15,38.0685,-122.1614,149,157,22.9,22.9,7.6
"Benicia","Solano","2007-12",2007,4,20,25,7,38.0685,-122.1614,149,157,22.9,22.9,7.6
"Benicia","Solano","2008-01",2008,4,19,25,7,38.0685,-122.1614,134,187,34.4,38.2,42.0
"Benicia","Solano","2008-02",2008,5,18,30,10,38.0685,-122.1614,134,187,34.4,38.2,42.0
"Benicia","Solano","2008-03",2008,4,15,33,6,38.0685,-122.1614,134,187,34.4,38.2,42.0
"Benicia","Solano","2008-04",2008,3,12,42,6,38.0685,-122.1614,134,187,34.4,38.2,42.0
"Benicia","Solano","2008-05",2008,3,10,37,5,38.0685,-122.1614,134,187,34.4,38.2,42.0
"Benicia","Solano","2008-06",2008,4,11,39,6,38.0685,-122.1614,134,187,34.4,38.2,42.0
"Benicia","Solano","2008-07",2008,3,9,36,6,38.0685,-122.1614,134,187,34.4,38.2,42.0
"Benicia","Solano","2008-08",2008,3,10,32,7,38.0685,-122.1614,134,187,34.4,38.2,42.0
"Benicia","Solano","2008-09",2008,3,12,42,7,38.0685,-122.1614,134,187,34.4,38.2,42.0
