"city","county","date","year","co_aqi_level","no2_aqi_level","o3_aqi_level","so2_aqi_level","latitude","longitude","HTD","CAN","STK","CLD"
"Bakersfield","Kern","2000-11",2000,18,46,24,8,35.3584,-119.033,358,222,89.9,77.3
"Bakersfield","Kern","2001-01",2001,21,55,23,13,35.3584,-119.033,373,259,70.8,79.7
"Bakersfield","Kern","2001-02",2001,17,59,30,6,35.3584,-119.033,373,259,70.8,79.7
"Bakersfield","Kern","2001-03",2001,8,49,48,6,35.3584,-119.033,373,259,70.8,79.7
"Bakersfield","Kern","2001-04",2001,6,34,50,4,35.3584,-119.033,373,259,70.8,79.7
"Benicia","Solano","2007-04",2007,4,11,37,6,38.0685,-122.161,149,157,22.9,22.9
"Benicia","Solano","2007-05",2007,3,10,38,5,38.0685,-122.161,149,157,22.9,22.9
"Benicia","Solano","2007-06",2007,3,10,32,5,38.0685,-122.161,149,157,22.9,22.9
"Benicia","Solano","2007-07",2007,3,9,26,6,38.0685,-122.161,149,157,22.9,22.9
"Benicia","Solano","2007-08",2007,3,11,32,6,38.0685,-122.161,149,157,22.9,22.9
"Benicia","Solano","2007-09",2007,4,13,36,6,38.0685,-122.161,149,157,22.9,22.9
"Benicia","Solano","2007-10",2007,4,15,32,7,38.0685,-122.161,149,157,22.9,22.9
"Benicia","Solano","2007-11",2007,4,21,26,15,38.0685,-122.161,149,157,22.9,22.9
"Benicia","Solano","2007-12",2007,4,20,25,7,38.0685,-122.161,149,157,22.9,22.9
"Benicia","Solano","2008-01",2008,4,19,25,7,38.0685,-122.161,134,187,34.4,38.2
"Benicia","Solano","2008-02",2008,5,18,30,10,38.0685,-122.161,134,187,34.4,38.2
"Benicia","Solano","2008-03",2008,4,15,33,6,38.0685,-122.161,134,187,34.4,38.2
"Benicia","Solano","2008-04",2008,3,12,42,6,38.0685,-122.161,134,187,34.4,38.2
"Benicia","Solano","2008-05",2008,3,10,37,5,38.0685,-122.161,134,187,34.4,38.2
"Benicia","Solano","2008-06",2008,4,11,39,6,38.0685,-122.161,134,187,34.4,38.2
"Benicia","Solano","2008-07",2008,3,9,36,6,38.0685,-122.161,134,187,34.4,38.2
"Benicia","Solano","2008-08",2008,3,10,32,7,38.0685,-122.161,134,187,34.4,38.2
"Benicia","Solano","2008-09",2008,3,12,42,7,38.0685,-122.161,134,187,34.4,38.2
"Benicia","Solano","2008-10",2008,4,17,39,8,38.0685,-122.161,134,187,34.4,38.2
"Benicia","Solano","2008-11",2008,5,19,24,5,38.0685,-122.161,134,187,34.4,38.2
"Benicia","Solano","2008-12",2008,5,18,21,6,38.0685,-122.161,134,187,34.4,38.2
"Berkeley","Alameda","2007-12",2007,9,31,18,5,37.8784,-122.272,166,150,39.7,20.8
"Berkeley","Alameda","2008-01",2008,8,28,18,5,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2008-02",2008,7,28,22,4,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2008-03",2008,5,28,26,3,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2008-04",2008,3,26,32,3,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2008-05",2008,3,19,28,3,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2008-06",2008,3,20,24,4,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2008-07",2008,1,15,20,3,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2008-08",2008,2,16,17,3,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2008-09",2008,3,21,24,4,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2008-10",2008,6,28,22,5,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2008-11",2008,8,28,17,4,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2008-12",2008,11,29,16,3,37.8784,-122.272,142,126,40.6,18.8
"Berkeley","Alameda","2009-01",2009,13,31,14,5,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2009-02",2009,7,30,23,4,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2009-03",2009,5,24,27,4,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2009-04",2009,4,22,32,5,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2009-05",2009,3,17,24,4,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2009-06",2009,2,12,22,4,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2009-07",2009,2,11,18,1,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2009-08",2009,3,14,18,2,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2009-09",2009,4,20,20,1,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2009-10",2009,5,24,19,2,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2009-11",2009,9,31,18,5,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2009-12",2009,10,29,16,4,37.8784,-122.272,129,182,44.6,24.8
"Berkeley","Alameda","2010-01",2010,10,27,16,3,37.8784,-122.272,122,151,30.2,16.9
"Berkeley","Alameda","2010-02",2010,7,27,23,4,37.8784,-122.272,122,151,30.2,16.9
"Berkeley","Alameda","2010-03",2010,6,26,29,4,37.8784,-122.272,122,151,30.2,16.9
"Berkeley","Alameda","2010-04",2010,4,23,30,2,37.8784,-122.272,122,151,30.2,16.9
"Berkeley","Alameda","2010-05",2010,3,17,27,2,37.8784,-122.272,122,151,30.2,16.9
"Berkeley","Alameda","2010-06",2010,3,14,20,3,37.8784,-122.272,122,151,30.2,16.9
"Berkeley","Alameda","2010-07",2010,3,14,21,1,37.8784,-122.272,122,151,30.2,16.9
"Berkeley","Alameda","2010-08",2010,3,14,20,1,37.8784,-122.272,122,151,30.2,16.9
"Berkeley","Alameda","2010-09",2010,4,20,21,3,37.8784,-122.272,122,151,30.2,16.9
"Berkeley","Alameda","2010-10",2010,4,24,22,2,37.8784,-122.272,122,151,30.2,16.9
